What is the clinical definition of Diabetes Mellitus?,"A group of metabolic diseases characterized by chronic hyperglycemia due to defects in insulin secretion, action, or both."
What are the three metabolic categories disturbed in Diabetes Mellitus?,"Carbohydrate, fat, and protein metabolism."
Identify the endocrine cell clusters within the pancreas.,Islets of Langerhans.
Which pancreatic islet cells are responsible for secreting insulin?,Beta ($\beta$) cells.
Which pancreatic islet cells are responsible for secreting glucagon?,Alpha ($\alpha$) cells.
What hormone is produced by the Delta ($\delta$) cells of the pancreas?,Somatostatin.
What is the primary product of pancreatic F-cells (PP cells)?,Pancreatic polypeptide.
Approximately what percentage of the pancreatic islet is composed of Beta cells?,$60\%-75\%$.
Approximately what percentage of the pancreatic islet is composed of Alpha cells?,$20\%$.
What is the approximate daily pancreatic production of insulin in a healthy adult?,$50$ units (or $0.7-1.3$ mg).
Insulin is a peptide hormone composed of how many amino acids?,$51$.
What is the primary biological effect of insulin on plasma glucose levels?,It lowers plasma glucose.
What is the primary biological effect of glucagon on plasma glucose levels?,It raises plasma glucose.
Term: Polyuria,Definition: Increased or excessive urination.
Term: Polydipsia,Definition: Excessive or abnormal thirst.
Term: Polyphagia,Definition: Excessive hunger or increased appetite.
What is the fundamental cause of Type 1 Diabetes Mellitus?,Absolute insulin deficiency due to autoimmune destruction of pancreatic Beta cells.
What is the dual defect characterizing Type 2 Diabetes Mellitus?,Peripheral insulin resistance and a relative deficiency in insulin secretion.
Which type of Diabetes Mellitus accounts for $90\%-95\%$ of all cases?,Type 2 Diabetes Mellitus.
What is the most common age of onset for Type 1 Diabetes Mellitus?,Juvenile onset (childhood).
What is the most common age of onset for Type 2 Diabetes Mellitus?,Adult onset (typically after age $40$).
Which type of Diabetes Mellitus is most strongly linked to obesity and a sedentary lifestyle?,Type 2 Diabetes Mellitus.
How is insulin classified based on its metabolic role in energy management?,Hormone of energy storage.
How is glucagon classified based on its metabolic role in energy management?,Hormone of energy release.
What is the range for normal basal insulin values in humans?,$30-90$ pmol/L.
Which classic symptoms are common to both Type 1 and Type 2 Diabetes Mellitus?,"Weight loss, polyuria, polydipsia, and polyphagia."
Which type of Diabetes Mellitus is frequently associated with ketosis and ketoacidosis?,Type 1 Diabetes Mellitus.
What type of diabetes is specifically diagnosed during pregnancy?,Gestational diabetes.
What protein is co-secreted with insulin and serves as a marker for Beta cell function?,C-peptide.
Identify two tissues where insulin specifically increases glucose uptake.,Muscle and adipose tissue.
Does insulin promote or inhibit lipolysis?,It inhibits (stops) lipolysis.
Does insulin promote or inhibit gluconeogenesis?,It inhibits (stops) gluconeogenesis.
What is the effect of insulin on glycogenesis in the liver and muscle?,It promotes (increases) glycogenesis.
What is the effect of insulin on protein synthesis?,It promotes (increases) protein synthesis.
"In identical twins, which type of diabetes has a higher concordance rate (stronger genetic component)?",Type 2 Diabetes Mellitus.
Where is the pancreas located in relation to the stomach?,Behind the stomach.
The islets represent approximately what percentage of total pancreatic volume?,$\sim 2\%$.
What are the exocrine cells of the pancreas called?,Acinar cells.
What do exocrine acinar cells secrete into the duodenum?,"Digestive enzymes (protease, lipase, amylase) and bicarbonate."
What occurs if insulin deficiency leads to 'starvation in the midst of plenty'?,Extracellular glucose excess exists alongside intracellular glucose deficiency.
What is the diagnostic threshold for Fasting Plasma Glucose (FPG) in Diabetes Mellitus?,$\ge 126$ mg/dL ($7.0$ mmol/L).
What HbA1c percentage is diagnostic for Diabetes Mellitus?,$\ge 6.5\%$ ($48$ mmol/mol).
What is the 2-hour plasma glucose threshold during an Oral Glucose Tolerance Test (OGTT) for diabetes?,$\ge 200$ mg/dL ($11.1$ mmol/L).
Diagnosis of diabetes via Random Plasma Glucose requires a value of $\ge 200$ mg/dL plus what?,"Presence of classic symptoms (e.g., 3 Ps, unexplained weight loss)."
What is the normal range for HbA1c?,$< 5.7\%$.
What range of HbA1c values indicates Pre-diabetes?,$5.7\%-6.4\%$.
Which glucose-phosphorylating enzyme is found in most tissues and has a very high glucose affinity?,Hexokinase.
Which glucose-phosphorylating enzyme is found primarily in the liver and pancreatic Beta cells?,Glucokinase.
How does Glucose-6-Phosphate (G-6-P) affect Hexokinase activity?,It serves as an allosteric inhibitor.
"Is Glucokinase inhibited by its product, Glucose-6-Phosphate?","No, it is not inhibited by G-6-P."
"In the Glucose-Stimulated Insulin Secretion (GSIS) cascade, what metabolite causes the closure of $K^+$ channels?",ATP.
Closure of $K^+$ channels in the Beta cell leads to what electrical change?,Cell membrane depolarization.
What ion channel opens in response to Beta cell depolarization to trigger insulin release?,Voltage-gated $Ca^{2+}$ channels.
The 'Incretin Effect' describes the finding that insulin levels increase more after which route of glucose administration?,Oral administration (food intake).
Identify the two primary incretin hormones released from the gut.,GLP-1 and GIP.
What enzyme is responsible for the inactivation of GLP-1 and GIP?,DPP-4 enzyme.
How does insulin administration typically affect plasma potassium ($K^+$) levels?,"It increases $K^+$ uptake into cells, lowering plasma levels."
What is the primary metabolic fuel for the central nervous system?,Glucose.
"During exercise, what happens to muscle glucose uptake?",It increases.
What is the metabolic state of the liver during fasting?,Increased glycogenolysis and gluconeogenesis.
"In the 'fed state,' what is the primary destination for glucose entering from the GI tract?","Liver (for glycogenesis), muscle, adipose, and neural tissue."
What hormone inhibits both insulin and glucagon secretion?,Somatostatin.
Secondary diabetes can be caused by which endocrine disorder involving cortisol excess?,Cushing syndrome.
